crash_date,latitude,longitude,num_of_ped_injured
2023/02/23 00:00:00.000,40.83638,-73.94458,1
2023/02/23 00:00:00.000,40.762535,-73.96501,1
2023/02/23 00:00:00.000,40.75718,-73.97399,1
2023/02/24 00:00:00.000,40.82092,-73.94333,1
2023/02/24 00:00:00.000,40.72639,-73.991806,1
2023/02/24 00:00:00.000,40.776897,-73.975464,1
2023/02/24 00:00:00.000,40.719970000000004,-73.992905,1
2023/02/24 00:00:00.000,40.710888,-74.00907,1
2023/02/25 00:00:00.000,40.80897,-73.94833,1
2023/02/25 00:00:00.000,40.85306,-73.931,1
2023/02/26 00:00:00.000,40.748886,-73.975845,1
2023/02/26 00:00:00.000,40.803696,-73.93792,1
2023/02/26 00:00:00.000,40.77012,-73.95741,1
2023/02/26 00:00:00.000,40.8044,-73.94168,1
2023/02/27 00:00:00.000,40.74044,-73.9946,1
2023/02/27 00:00:00.000,40.718143,-73.993835,1
2023/02/27 00:00:00.000,40.74545,-73.98149,1
2023/02/28 00:00:00.000,40.76552,-73.97211,1
2023/02/28 00:00:00.000,40.81851,-73.93765,1
2023/02/28 00:00:00.000,40.744186,-73.991875,1
2023/02/28 00:00:00.000,40.79757,-73.939156,1
2023/02/28 00:00:00.000,40.713753,-73.99377,1
2023/03/01 00:00:00.000,40.79726,-73.94053,1
2023/03/01 00:00:00.000,40.777527,-73.975006,1
2023/03/01 00:00:00.000,40.807087,-73.94178,1
2023/03/01 00:00:00.000,40.74875,-73.98932,1
2023/03/02 00:00:00.000,40.82403,-73.94476,1
2023/03/02 00:00:00.000,40.759617,-73.961975,1
2023/03/02 00:00:00.000,40.71738,-73.99131,1
2023/03/02 00:00:00.000,40.75112,-73.97127,1
2023/03/02 00:00:00.000,40.76734,-73.96868,1
2023/03/02 00:00:00.000,40.764053,-73.96476,1
2023/03/02 00:00:00.000,40.715996,-74.00479,1
2023/03/03 00:00:00.000,40.718792,-73.98902,1
2023/03/03 00:00:00.000,40.753273,-73.98896,1
2023/03/03 00:00:00.000,40.731495,-73.97364,1
2023/03/03 00:00:00.000,40.71983,-73.98755,1
2023/03/03 00:00:00.000,40.80123,-73.9577,1
2023/03/03 00:00:00.000,40.750465,-73.99528,1
2023/03/04 00:00:00.000,40.751804,-73.988594,1
2023/03/04 00:00:00.000,40.76099,-73.99077,1
2023/03/05 00:00:00.000,40.781315,-73.94614,1
2023/03/05 00:00:00.000,40.796642,-73.96848,1
2023/03/05 00:00:00.000,40.81467,-73.93622,1
2023/03/06 00:00:00.000,40.743225,-73.98414,1
2023/03/06 00:00:00.000,40.80129,-73.9439,1
2023/03/06 00:00:00.000,40.814102,-73.940865,1
2023/03/06 00:00:00.000,40.70772,-74.00828,1
2023/03/07 00:00:00.000,40.80142,-73.93446,1
2023/03/07 00:00:00.000,40.820293,-73.94378,1
2023/03/07 00:00:00.000,40.80142,-73.93446,1
2023/03/08 00:00:00.000,40.732594,-73.97442,1
2023/03/08 00:00:00.000,40.807095,-73.945984,1
2023/03/08 00:00:00.000,40.797943,-73.94003,1
2023/03/08 00:00:00.000,40.854904,-73.92965,1
2023/03/09 00:00:00.000,40.751442,-73.97606,1
2023/03/09 00:00:00.000,40.714127,-73.99876,1
2023/03/09 00:00:00.000,40.720375,-74.003265,1
2023/03/09 00:00:00.000,40.855556,-73.92918,1
2023/03/10 00:00:00.000,40.749825,-73.972206,1
2023/03/10 00:00:00.000,40.761486,-73.96061,1
2023/03/10 00:00:00.000,40.751747,-73.97081,1
2023/03/10 00:00:00.000,40.757233,-73.9898,1
2023/03/10 00:00:00.000,40.789948,-73.94293,1
2023/03/10 00:00:00.000,40.73065,-73.98308,1
2023/03/10 00:00:00.000,40.83089,-73.941376,1
2023/03/10 00:00:00.000,40.719322,-73.99731,1
2023/03/10 00:00:00.000,40.76974,-73.982124,1
2023/03/10 00:00:00.000,40.719902,-74.00261,1
2023/03/11 00:00:00.000,40.766502,-73.99418,1
2023/03/11 00:00:00.000,40.783245,-73.94473,1
2023/03/11 00:00:00.000,40.755405,-73.97949,2
2023/03/12 00:00:00.000,40.713795,-73.99018,1
2023/03/13 00:00:00.000,0,0,1
2023/03/13 00:00:00.000,40.74036,-73.97318,1
2023/03/13 00:00:00.000,40.793552,-73.945335,1
2023/03/13 00:00:00.000,40.76025,-73.96753,1
2023/03/14 00:00:00.000,40.7366,-73.98185,1
2023/03/14 00:00:00.000,40.738796,-73.97716,1
2023/03/14 00:00:00.000,40.725155,-73.997,1
2023/03/14 00:00:00.000,40.77235,-73.94666,1
2023/03/14 00:00:00.000,40.788418,-73.97077,1
2023/03/14 00:00:00.000,40.717957,-74.014595,1
2023/03/14 00:00:00.000,40.802395,-73.936775,1
2023/03/15 00:00:00.000,40.750904,-73.98068,1
2023/03/15 00:00:00.000,40.816574,-73.957664,1
2023/03/15 00:00:00.000,40.798504,-73.96713,1
2023/03/15 00:00:00.000,40.757973,-73.98554,1
2023/03/15 00:00:00.000,40.856503,-73.93277,5
2023/03/15 00:00:00.000,40.749794,-73.99149,1
2023/03/15 00:00:00.000,40.86159,-73.92475,1
2023/03/16 00:00:00.000,40.76377,-73.96411,1
2023/03/16 00:00:00.000,40.79507,-73.93919,1
2023/03/16 00:00:00.000,40.80118,-73.93975,1
2023/03/16 00:00:00.000,40.75587,-73.972824,1
2023/03/16 00:00:00.000,0,0,1
2023/03/16 00:00:00.000,40.73235,-73.984955,1
2023/03/16 00:00:00.000,40.742252,-74.00071,1
2023/03/17 00:00:00.000,40.710983,-74.00052,2
2023/03/17 00:00:00.000,40.84787,-73.93641,1
2023/03/17 00:00:00.000,40.72284,-73.99144,1
2023/03/17 00:00:00.000,0,0,1
2023/03/17 00:00:00.000,40.72293,-73.98865,2
2023/03/18 00:00:00.000,40.72301,-73.98576,1
2023/03/19 00:00:00.000,40.77537,-73.98772,1
2023/03/19 00:00:00.000,40.7736,-73.98158,1
